state;city;distrito;idubligeo
01 Amazonas;;;010000
01 Amazonas;01 Chachapoyas;;010100
01 Amazonas;01 Chachapoyas;01 Chachapoyas;010101
01 Amazonas;01 Chachapoyas;02 Asunción;010102
01 Amazonas;01 Chachapoyas;03 Balsas;010103
01 Amazonas;01 Chachapoyas;04 Cheto;010104
01 Amazonas;01 Chachapoyas;05 Chiliquin;010105
01 Amazonas;01 Chachapoyas;06 Chuquibamba;010106
01 Amazonas;01 Chachapoyas;07 Granada;010107
01 Amazonas;01 Chachapoyas;08 Huancas;010108
01 Amazonas;01 Chachapoyas;09 La Jalca;010109
01 Amazonas;01 Chachapoyas;10 Leimebamba;010110
01 Amazonas;01 Chachapoyas;11 Levanto;010111
01 Amazonas;01 Chachapoyas;12 Magdalena;010112
01 Amazonas;01 Chachapoyas;13 Mariscal Castilla;010113
01 Amazonas;01 Chachapoyas;14 Molinopampa;010114
01 Amazonas;01 Chachapoyas;15 Montevideo;010115
01 Amazonas;01 Chachapoyas;16 Olleros;010116
01 Amazonas;01 Chachapoyas;17 Quinjalca;010117
01 Amazonas;01 Chachapoyas;18 San Francisco de Daguas;010118
01 Amazonas;01 Chachapoyas;19 San Isidro de Maino;010119
01 Amazonas;01 Chachapoyas;20 Soloco;010120
01 Amazonas;01 Chachapoyas;21 Sonche;010121
01 Amazonas;02 Bagua;;010200
01 Amazonas;02 Bagua;01 Bagua;010201
01 Amazonas;02 Bagua;02 Aramango;010202
01 Amazonas;02 Bagua;03 Copallin;010203
01 Amazonas;02 Bagua;04 El Parco;010204
01 Amazonas;02 Bagua;05 Imaza;010205
01 Amazonas;02 Bagua;06 La Peca;010206
01 Amazonas;03 Bongará;;010300
01 Amazonas;03 Bongará;01 Jumbilla;010301
01 Amazonas;03 Bongará;02 Chisquilla;010302
01 Amazonas;03 Bongará;03 Churuja;010303
01 Amazonas;03 Bongará;04 Corosha;010304
01 Amazonas;03 Bongará;05 Cuispes;010305
01 Amazonas;03 Bongará;06 Florida;010306
01 Amazonas;03 Bongará;07 Jazan;010307
01 Amazonas;03 Bongará;08 Recta;010308
01 Amazonas;03 Bongará;09 San Carlos;010309
01 Amazonas;03 Bongará;10 Shipasbamba;010310
01 Amazonas;03 Bongará;11 Valera;010311
01 Amazonas;03 Bongará;12 Yambrasbamba;010312
01 Amazonas;04 Condorcanqui;;010400
01 Amazonas;04 Condorcanqui;01 Nieva;010401
01 Amazonas;04 Condorcanqui;02 El Cenepa;010402
01 Amazonas;04 Condorcanqui;03 Río Santiago;010403
01 Amazonas;05 Luya;;010500
01 Amazonas;05 Luya;01 Lamud;010501
01 Amazonas;05 Luya;02 Camporredondo;010502
01 Amazonas;05 Luya;03 Cocabamba;010503
01 Amazonas;05 Luya;04 Colcamar;010504
01 Amazonas;05 Luya;05 Conila;010505
01 Amazonas;05 Luya;06 Inguilpata;010506
01 Amazonas;05 Luya;07 Longuita;010507
01 Amazonas;05 Luya;08 Lonya Chico;010508
01 Amazonas;05 Luya;09 Luya;010509
01 Amazonas;05 Luya;10 Luya Viejo;010510
01 Amazonas;05 Luya;11 María;010511
01 Amazonas;05 Luya;12 Ocalli;010512
01 Amazonas;05 Luya;13 Ocumal;010513
01 Amazonas;05 Luya;14 Pisuquia;010514
01 Amazonas;05 Luya;15 Providencia;010515
01 Amazonas;05 Luya;16 San Cristóbal;010516
01 Amazonas;05 Luya;17 San Francisco de Yeso;010517
01 Amazonas;05 Luya;18 San Jerónimo;010518
01 Amazonas;05 Luya;19 San Juan de Lopecancha;010519
01 Amazonas;05 Luya;20 Santa Catalina;010520
01 Amazonas;05 Luya;21 Santo Tomas;010521
01 Amazonas;05 Luya;22 Tingo;010522
01 Amazonas;05 Luya;23 Trita;010523
01 Amazonas;06 Rodríguez de Mendoza;;010600
01 Amazonas;06 Rodríguez de Mendoza;01 San Nicolás;010601
